Movie Stars,Count
"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",2
"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",2
"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",1
"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",1
"Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones",1
"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",1
"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",1
"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",1
"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",1
"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",1
"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",1
"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",1
"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",1
"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards",1
"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden",1
"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine",1
"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson",1
"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",1
"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",1
"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott",1
"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",1
"Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig",1
"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",1
"Robin Williams, Kirsten Dunst, Bonnie Hunt, Jonathan Hyde",1
"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",1
"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",1
"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",1
"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",1
"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",1
"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen",1
"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",1
"Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames",1
"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",1
"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen",1
"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",1
"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",1
"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",1
"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",1
"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",1
"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",1
"John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond",1
"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",1
"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",1
"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",1
"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci",1
"Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin",1
"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",1
"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chen Chang",1
"Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri",1
"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",1
"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",1
"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",1
"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny",1
"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",1
"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien",1
"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",1
"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton",1
"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",1
"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",1
"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis",1
"Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler",1
"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",1
"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett",1
"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",1
"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",1
"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall",1
"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger",1
"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",1
"Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach",1
"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange",1
"George Clooney, John Turturro, Tim Blake Nelson, John Goodman",1
"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",1
"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",1
"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",1
"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson",1
"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",1
"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",1
"Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith",1
"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",1
"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Tina Majorino",1
"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd",1
"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",1
"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis",1
"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",1
"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",1
"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",1
"Paul Walker, Jason Biggs, Bruce Greenwood, Moon Bloodgood",1
"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan",1
"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",1
"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood",1
"Jean-Marc Barr, Jean Reno, Rosanna Arquette, Paul Shenar",1
"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",1
"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1
"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1
"Tilda Swinton, Georgie Henley, William Moseley, Skandar Keynes",1
"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin",1
"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",1
"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",1
